date,narration,amount,type,source_file,category,ai_categorized,similarity_score
2025-05-14,EMI - Bajaj Finserv Personal Loan,-7300.0,debit,Book1.xlsx,EMI,False,100.0
2025-05-15,Received cashback from CRED for electricity bill,120.0,credit,Book1.xlsx,Utilities,False,100.0
2025-05-17,Uber ride to JP Nagar for tuition,-280.0,debit,Book1.xlsx,Food,False,100.0
2025-05-18,Zomato lunch order - Sunday special,-620.0,debit,Book1.xlsx,Food,False,100.0
2025-05-19,Tuition batch (2 students - physics),10000.0,credit,Book1.xlsx,Suspense,True,0.0
2025-05-20,Mutual fund SIP - Axis Bluechip,-2000.0,debit,Book1.xlsx,Investment,False,100.0
2025-05-21,PayTM - Cafe Coffee Day bill,-370.0,debit,Book1.xlsx,Salary,False,100.0
2025-05-22,Reimbursement - client travel allowance,1500.0,credit,Book1.xlsx,Suspense,False,100.0
2025-05-23,Metro recharge card top-up,-100.0,debit,Book1.xlsx,Transportation,False,100.0
2025-05-24,Cinema ticket via PayTM Movies,-420.0,debit,Book1.xlsx,Salary,False,100.0
2025-05-25,Interest on RD account,1150.0,credit,Book1.xlsx,Shopping,False,80.0
2025-05-26,Monthly salary Singhvi & Co.,78000.0,credit,Book1.xlsx,Salary,False,100.0
2025-05-28,Recharge - Tata Sky monthly pack,-399.0,debit,Book1.xlsx,Suspense,True,0.0
2025-05-29,Received UPI from friend for split cab fare,280.0,credit,Book1.xlsx,Food,False,100.0
2025-05-30,Amazon Pantry groceries,-2175.0,debit,Book1.xlsx,Shopping,False,100.0
2025-06-01,Salary,78000.0,credit,Book1.xlsx,Salary,False,100.0
2025-06-03,Flipkart - Keyboard & Mouse combo,-1650.0,debit,Book1.xlsx,Shopping,False,100.0
2025-06-05,BMS OTT monthly subscription,-149.0,debit,Book1.xlsx,Suspense,True,0.0
2025-06-06,Tuition advance received (June batch),9000.0,credit,Book1.xlsx,Suspense,True,0.0
2025-06-08,Internet bill - Airtel broadband,-999.0,debit,Book1.xlsx,Utilities,False,100.0
2025-06-09,PayTM - McDonald's order,-440.0,debit,Book1.xlsx,Salary,False,100.0
2025-06-10,Interest income from FD,1120.0,credit,Book1.xlsx,Salary,False,100.0
2025-06-11,Swiggy order - office lunch,-310.0,debit,Book1.xlsx,Food,False,100.0
2025-06-12,Phone recharge via PhonePe,-299.0,debit,Book1.xlsx,Utilities,False,100.0
2025-06-13,Spotify premium renewal,-119.0,debit,Book1.xlsx,Entertainment,False,100.0
2025-06-14,Client payout - Design project milestone 2,9000.0,credit,Book1.xlsx,Salary,False,100.0
2025-06-15,Electricity bill - June,-1350.0,debit,Book1.xlsx,Utilities,False,100.0
2025-06-16,Tuition group (IIT physics - 3 students),18000.0,credit,Book1.xlsx,Suspense,True,0.0
2025-06-18,Zara apparel - online order,-3290.0,debit,Book1.xlsx,Suspense,True,0.0
2025-06-19,Google Pay - 50 cashback received,50.0,credit,Book1.xlsx,Salary,False,100.0
2025-06-20,Transfer to wife's account via NEFT,-5000.0,debit,Book1.xlsx,Salary,False,80.0
2025-06-21,Uber trip to Electronic City,-440.0,debit,Book1.xlsx,Food,False,100.0
2025-06-22,Dine-out at Empire Restaurant,-890.0,debit,Book1.xlsx,Food,False,100.0
2025-06-23,Received NEFT from client (Consulting),18500.0,credit,Book1.xlsx,Suspense,True,0.0
2025-06-24,Gold investment (MMTC PAMP),-5000.0,debit,Book1.xlsx,Investment,False,100.0
2025-06-25,Dividend credited - Reliance MF,980.0,credit,Book1.xlsx,Investment,False,100.0
2025-06-26,EMI - Home loan SBI,-14800.0,debit,Book1.xlsx,EMI,False,100.0
2025-06-28,Zomato Sunday dinner - friends,-1240.0,debit,Book1.xlsx,Food,False,100.0
2025-06-30,Received tuition payment (3 students combined),16500.0,credit,Book1.xlsx,Salary,False,100.0
